Handle,Title,Body (HTML),Description,Location,Vendor,Tags,Type,Product Category,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,HS Code,COO,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Cost Per Item,Variant Inventory Tracker,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Gift Card,Status,Variant Barcode
kids-chicago-hd-dotted-hoodie001-black,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,2T,Color,001 BLACK,,,B0H456Z1FT,0.0,,US,1.0,deny,105,42,shopify,manual,false,true,lbs,false,active,
kids-chicago-hd-dotted-hoodie001-black,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,3T,Color,001 BLACK,,,B0H456Z1FT,0.0,,US,1.0,deny,105,42,shopify,manual,false,true,lbs,false,active,
kids-chicago-hd-dotted-hoodie001-black,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,4,Color,001 BLACK,,,B0H456Z1FT,0.0,,US,1.0,deny,105,42,shopify,manual,false,true,lbs,false,active,
kids-chicago-hd-dotted-hoodie001-black,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,5/6,Color,001 BLACK,,,B0H456Z1FT,0.0,,US,1.0,deny,105,42,shopify,manual,false,true,lbs,false,active,
kids-chicago-hd-dotted-hoodie001-black,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,,KIDS CHICAGO HD DOTTED HOODIE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,7/8,Color,001 BLACK,,,B0H456Z1FT,0.0,,US,1.0,deny,105,42,shopify,manual,false,true,lbs,false,active,
kids-french-terry-pullover-hoodie001-black,KIDS FRENCH TERRY PULLOVER HOODIE-001 BLACK,,KIDS FRENCH TERRY PULLOVER HOODIE-001 BLACK,14469,Psycho Bunny,,,Apparel & Accessories > Clothing,false,Size,4,Color,001 BLACK,,,B0H825ARFT,0.0,,US,1.0,deny,95,38,shopify,manual,false,true,lbs,false,active,
kids-french-terry-pullover-hoodie001-black,KIDS FRENCH TERRY PULLOVER HOODIE-001 BLACK,,KIDS FRENCH TERRY PULLOVER HOODIE-001 BLACK,14469,Psycho Bunny,,,Apparel & Accessories > Clothing,false,Size,5/6,Color,001 BLACK,,,B0H825ARFT,0.0,,US,1.0,deny,95,38,shopify,manual,false,true,lbs,false,active,
kids-chicago-hd-dotted-sweatpant001-black,KIDS CHICAGO HD DOTTED SWEATPANT-001 BLACK,,KIDS CHICAGO HD DOTTED SWEATPANT-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,3T,Color,001 BLACK,,,B0P438Z1FT,0.0,,US,1.0,deny,70,28,shopify,manual,false,true,lbs,false,active,
kids-chicago-hd-dotted-sweatpant001-black,KIDS CHICAGO HD DOTTED SWEATPANT-001 BLACK,,KIDS CHICAGO HD DOTTED SWEATPANT-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,4,Color,001 BLACK,,,B0P438Z1FT,0.0,,US,1.0,deny,70,28,shopify,manual,false,true,lbs,false,active,
kids-posen-matte-graphic-sweatshirt410-navy,KIDS POSEN MATTE GRAPHIC SWEATSHIRT-410 NAVY,,KIDS POSEN MATTE GRAPHIC SWEATSHIRT-410 NAVY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,4,Color,410 NAVY,,,B0S536Z1FT,0.0,,US,1.0,deny,95,38,shopify,manual,false,true,lbs,false,active,
kids-posen-matte-graphic-sweatshirt410-navy,KIDS POSEN MATTE GRAPHIC SWEATSHIRT-410 NAVY,,KIDS POSEN MATTE GRAPHIC SWEATSHIRT-410 NAVY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,5/6,Color,410 NAVY,,,B0S536Z1FT,0.0,,US,1.0,deny,95,38,shopify,manual,false,true,lbs,false,active,
kids-posen-matte-graphic-sweatshirt410-navy,KIDS POSEN MATTE GRAPHIC SWEATSHIRT-410 NAVY,,KIDS POSEN MATTE GRAPHIC SWEATSHIRT-410 NAVY,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,7/8,Color,410 NAVY,,,B0S536Z1FT,0.0,,US,1.0,deny,95,38,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee001-black,KIDS CHESTER EMBROIDERED GRAPHIC TEE-001 BLACK,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,2T,Color,001 BLACK,,,B0U301Z1PC,0.0,,US,2.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
